clip_id,timestamp,comments
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:12,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:17,마지막으로 경고합니다...
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:17,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:19,나 잉 구 뒤
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:20,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:20,ㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:20,경.고
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:20,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:22,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,ㅎㅎ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,잉혐ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:23,바로 잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ㅇ????
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,잉혐 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,독설가지
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:25,잉혐 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:26,on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:26,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:26,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:26,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,쌍베오빠..
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,ㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,흑화한거아닙니까 허허
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,ㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,바로?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:27,잉혐 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,ㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,않이
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,영 ㅡㅡㅡㅡ 악
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,ㅋㅋㅋㅋㅋ 본점
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:28,바로 잉혐 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,바로 ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,누가 그렇게 만들엇지?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,ㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,잉혐ON ㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,와 이걸 이렇게..
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,동ㅏㄹ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:29,허허
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,ㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,순수한 악
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,잉혐 ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,잉혐 ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:30,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:31,또 시작대찌
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:31,바로 잉혐on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:31,바로잉혐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:32,잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:32,999+ 힘을 받아라
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:32,바로 스위치ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:32,잉혐 너무 재밋잖어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:32,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,역시 본점...
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,순수한적이없었습니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,네?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,본점 ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,이걸 바로 켜버리네
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:33,쪼옥쪼옥
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:34,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:35,또 시작이니 ㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:35,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:35,시박대찌
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:35,바보로 보셨습니까
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:35,바로 on하네
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:36,잉혐on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:36,바로 잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:37,않이 바로 잉혐ON하내????
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:37,숨쉬듯이 잉혐 on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:37,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:38,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:38,in
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:38,조륜안 가동 ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:38,쌍베오빠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:39,누가 그렇게 만들었을까
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:39,근데 쌍베님이 먼저 했잖아요 ㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:39,스위치 ON
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:39,님때문이잖아요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:39,좋아좋아
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:40,On
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:40,괴물을 상대하기 위해 괴물이되버린...
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:40,또또
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:41,역시 변화무쌍..
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:41,ㅋㅋㅋㅋ잉혐 온
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:41,딸칵
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:41,역시 본점이야
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:42,on
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:42,쌍베님한테 배운거같아요
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:42,이집 본점 잘하네
